,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
1564,AlexanderGustafssonJanBlachowicz,AlexanderGustafssonJanBlachowicz,0, 0,50,100,28,90,50%, 31%,139,201,55,125,4,5,0,1,80%, 0%,0, 0,2, 0,0, 0,43,92,18,73,3,3,8,15,4,5,2,2,15,57,24,81,2,2,3,6,33,41,1,3
1565,RyanBaderIlirLatifi,RyanBaderIlirLatifi,1, 1,13,34,9,30,38%, 30%,15,36,11,32,0,1,0,5,0%, 0%,0, 0,0, 0,0, 0,12,31,6,23,1,3,3,6,0,0,0,1,13,34,6,23,0,0,2,5,0,0,1,2
1566,NickHeinTaeHyunBang,NickHeinTaeHyunBang,0, 0,20,76,40,117,26%, 34%,48,106,44,121,2,5,0,2,40%, 0%,0, 0,1, 0,0, 0,12,55,34,105,8,19,5,11,0,2,1,1,18,72,36,112,2,4,4,5,0,0,0,0
1567,JessinAyariJimmyWallhead,JessinAyariJimmyWallhead,0, 1,70,172,47,135,40%, 34%,72,174,53,142,0,3,0,0,0%, 0%,0, 0,0, 0,0, 0,48,135,31,113,8,20,5,8,14,17,11,14,65,164,44,128,5,8,1,2,0,0,2,5
1568,PeterSobottaNicolasDalby,PeterSobottaNicolasDalby,1, 0,38,76,14,52,50%, 26%,83,127,48,87,3,5,0,1,60%, 0%,1, 0,7, 0,0, 0,28,65,7,40,5,6,4,7,5,5,3,5,21,44,9,45,0,0,3,5,17,32,2,2
1569,AshleeEvans-SmithVeronicaMacedo,AshleeEvans-SmithVeronicaMacedo,0, 0,73,115,23,41,63%, 56%,114,162,34,54,2,5,0,0,40%, 0%,0, 0,3, 0,0, 0,41,78,13,27,27,31,7,9,5,6,3,5,11,38,12,28,29,35,11,13,33,42,0,0
1570,TaylorLapilusLeandroIssa,TaylorLapilusLeandroIssa,0, 0,63,146,19,61,43%, 31%,84,168,23,68,0,0,3,14,0%, 21%,0, 0,0, 0,0, 0,49,130,6,38,12,14,6,13,2,2,7,10,38,115,16,58,21,26,3,3,4,5,0,0
1571,ScottAskhamJackHermansson,JackHermanssonScottAskham, 0,0,88,156,37,106, 56%,34%,121,190,49,120,1,6,0,3, 16%,0%, 0,2, 1,0, 0,0,39,98,8,62,21,22,21,33,28,36,8,11,57,114,23,83,30,40,13,22,1,2,1,1
1572,RustamKhabilovLeandroSilva,RustamKhabilovLeandroSilva,0, 0,24,82,29,83,29%, 34%,49,111,40,95,2,10,0,2,20%, 0%,0, 0,0, 1,0, 0,12,62,13,57,1,5,11,20,11,15,5,6,18,71,26,78,0,3,3,4,6,8,0,1
1573,DemianMaiaCarlosCondit,DemianMaiaCarlosCondit,0, 0,1,1,1,6,100%, 16%,5,5,1,6,1,1,0,0,100%, 0%,1, 0,2, 0,0, 0,1,1,1,5,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,1,0,1
1574,AnthonyPettisCharlesOliveira,AnthonyPettisCharlesOliveira,0, 0,53,87,41,86,60%, 47%,77,114,60,105,0,0,4,11,0%, 36%,1, 0,2, 6,5, 0,41,67,23,57,12,20,17,28,0,0,1,1,35,53,27,63,0,1,8,12,18,33,6,11
1575,PaigeVanZantBecRawlings,PaigeVanZantBecRawlings,1, 0,25,63,21,51,39%, 41%,27,65,30,60,0,0,0,0,0%, 0%,0, 0,0, 0,0, 0,14,38,15,41,4,12,6,10,7,13,0,0,15,45,9,34,3,7,12,17,7,11,0,0
1576,JoeLauzonJimMiller,JimMillerJoeLauzon, 0,0,80,166,54,136, 48%,39%,97,185,92,177,0,3,3,4, 0%,75%, 0,1, 0,10, 0,0,52,130,46,123,25,33,7,10,3,3,1,3,60,131,35,111,16,31,7,10,4,4,12,15
1577,SamAlveyKevinCasey,SamAlveyKevinCasey,2, 0,59,114,25,51,51%, 49%,70,125,31,58,0,0,0,2,0%, 0%,0, 0,1, 0,0, 0,36,88,11,35,13,15,7,9,10,11,7,7,29,72,21,47,17,19,4,4,13,23,0,0
1578,EnriqueBarzolaKyleBochniak,KyleBochniakEnriqueBarzola, 0,0,41,141,55,165, 29%,33%,41,142,56,168,1,3,1,9, 33%,11%, 0,0, 1,0, 0,0,15,107,31,136,6,11,17,22,20,23,7,7,38,136,47,155,3,5,8,10,0,0,0,0
1579,GarrethMcLellanAlessioDiChirico,AlessioDiChiricoGarrethMcLellan, 1,0,61,136,57,139, 44%,41%,114,198,88,179,2,6,2,8, 33%,25%, 0,0, 4,2, 0,0,51,122,27,89,7,11,23,40,3,3,7,10,36,90,36,112,16,29,21,27,9,17,0,0
1580,ShaneCampbellFelipeSilva,FelipeSilvaShaneCampbell, 1,0,11,25,9,13, 44%,69%,13,27,10,14,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,6,19,1,4,4,5,1,2,1,1,7,7,6,13,8,12,3,5,1,1,2,7,0,0
